Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att1,Thr,Launch%,AvgLen,Att2,Launch%.1,AvgLen.1,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
1,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,1,0.04,1,0.9,10,20,50,70,30,28.6,25.7,10,0,24,10,0,0,20,13.85,33,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,0.8,0,0,0,0,0.73,0.3,-0.07,-0.06,4.93,13.47,36.6,23.87,4.4,29.6,30.5,8.27,77.4,55.4,12.8,1.47,11.5,1.33,1.33,15.4,Matches
3,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,1.78,0.22,0,0.44,0,1.44,0.29,-0.33,-0.32,5.11,14.89,34.3,24.22,3.11,38.5,33,7.78,71.4,51.4,16.67,1.11,6.7,1.11,1.11,14.8,Matches
4,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,1.16,0.05,0,0,0.05,1.38,0.33,0.27,0.27,3.14,7.65,41,33.95,5.68,18.4,26.9,5.22,26.9,31.3,10.73,0.62,5.8,2.41,2.41,19.8,Matches
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,3.4,2.06,0.59,0,0.29,0,2.15,0.33,0.09,0.09,4.12,10.88,37.8,17.94,4.12,39.3,33.4,8.82,43.3,33,13.82,0.59,4.3,0.29,0.29,10.3,Matches
6,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,28.5,1.16,0.04,0.04,0.14,0.11,1.23,0.29,0.18,0.18,2.39,7.47,31.9,30.32,5.3,17.1,26.3,6.39,35.7,31.5,11.65,0.53,4.5,1.82,1.82,16.9,Matches
7,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10,2.1,0.1,0.1,0,0,1.68,0.31,-0.42,-0.42,5.8,16.2,35.8,26,4.6,38.8,35.8,9.2,66.3,51.2,16.6,0.5,3,1.7,1.7,16.1,Matches
8,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25,1.56,0.2,0,0.16,0.08,1.29,0.21,-0.19,-0.19,6.36,17.64,36.1,28.56,4.16,45.8,39.1,8,57,44.2,14.24,0.96,6.7,0.92,0.92,13.9,Matches
9,Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36,1.75,0.19,0,0.11,0.06,1.93,0.31,0.24,0.24,5.31,11.72,45.3,21.44,4.61,33.8,34.2,8.22,54.4,41.7,15.94,0.58,3.7,0.56,0.56,12.7,Matches
10,Francesco Bardi,it ITA,GK,Bologna,it Serie A,30,1992,1,0,0,0,0,0,0.6,0.16,0.6,0.56,5,9,55.6,13,5,38.5,35.6,9,44.4,33.4,10,0,0,0,0,0,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32,1990,34,1.68,0.06,0.03,0.32,0.03,1.48,0.31,-0.16,-0.16,6.06,15.44,39.2,34.24,4.94,35.3,33.6,7.32,45.8,39.3,15.56,1.26,8.1,1.26,1.26,13.4,Matches
12,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,20,2002,32,1.75,0.03,0.03,0.22,0.12,1.11,0.28,-0.52,-0.52,6.62,19.66,33.7,29.22,4.5,50.2,38.1,7.41,67.5,50,14.25,1.12,7.9,1.5,1.5,15.1,Matches
13,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35,1987,1,0,0,0,0,0,0.5,0.12,0.5,0.49,4,13,30.8,22,5,36.4,34.9,8,62.5,46.8,23,1,4.3,0,0,5,Matches
