Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,1.7,0.68,0.61,0.83,0.27,0.57,1.74,32.6,1.17,1.63,0.11,1.52,0.19,1.89,0.23,0.04,Matches
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,3.16,2.63,1.05,1.05,1.05,1.05,1.58,66.7,0.53,1.05,0.53,0.53,0,3.16,1.05,0,Matches
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,1.43,1.43,0,1.43,0,0,0,0,0,5.71,2.86,2.86,0,1.43,7.14,0,Matches
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,2.22,1.35,1.27,0.89,0.05,1.05,1.41,75,0.35,1.76,0.73,1.03,1.73,3.95,3.14,0.03,Matches
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,2.7,1.6,0.93,1.35,0.42,1.31,2.83,46.3,1.52,1.27,0.04,1.22,1.18,3.88,0.63,0,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,1.43,0.81,0.56,0.71,0.16,0.9,1.61,55.8,0.71,1.18,0.28,0.9,1.12,2.55,0.81,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26,3.54,2,2.27,1.15,0.12,1.5,3.54,42.4,2.04,1.81,0.31,1.5,1.31,4.85,1.5,0,Matches
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,1.52,0.91,0.91,0.45,0.15,1.06,2.42,43.8,1.36,1.06,0.15,0.91,0.76,2.27,2.58,0,Matches
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9,0.44,0.22,0,0.33,0.11,0,0.56,0,0.56,0.67,0.11,0.56,0.11,0.56,0.11,0,Matches
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,0.83,0.83,0,0,0.83,0.83,0.83,100,0,0.83,0,0.83,1.67,2.5,0.83,0,Matches
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,1.79,1.34,1.34,0.3,0.15,1.04,2.39,43.8,1.34,1.19,0.3,0.9,1.19,2.99,3.58,0,Matches
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,1.2,0.84,0.47,0.33,0.4,0.51,1.64,31.1,1.13,0.65,0.04,0.62,0.8,2,0.84,0,Matches
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,0.7,0.41,0.16,0.33,0.21,0.12,0.66,18.8,0.53,0.41,0.16,0.25,0.12,0.82,0.58,0,Matches
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,5,0,5,0,0,0,10,0,10,0,0,0,0,5,0,0,Matches
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,1.23,0.71,0.82,0.26,0.15,0.74,1,74.1,0.26,0.93,0.67,0.26,1.52,2.75,3.16,0.07,Matches
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,2.5,2.5,2.5,0,0,2.5,2.5,100,0,0,0,0,0,2.5,0,0,Matches
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,2.69,1.7,1.6,0.8,0.28,1.42,1.98,71.4,0.57,0.75,0.24,0.52,1.08,3.77,1.7,0,Matches
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,0.77,0.59,0.32,0.36,0.09,0.32,0.54,58.3,0.23,0.59,0.18,0.41,0.18,0.95,1,0,Matches
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,3.71,1.92,1.83,1.46,0.42,2.08,3.21,64.9,1.12,2,0.33,1.67,1.46,5.17,1.21,0,Matches
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,1.94,0.97,0.69,0.42,0.83,0.97,2.36,41.2,1.39,1.67,0,1.67,0.56,2.5,0.69,0,Matches
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,1.29,0.56,0.95,0.26,0.09,0.69,0.99,69.6,0.3,0.86,0.65,0.22,1.12,2.41,6.03,0.04,Matches
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,2.5,2.5,1.67,0.83,0,2.5,3.33,75,0.83,2.5,0.83,1.67,2.5,5,2.5,0,Matches
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,1.04,0.71,0.39,0.39,0.26,0.52,1.95,26.7,1.43,1.17,0.06,1.1,0.45,1.49,0.19,0,Matches
26,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,1.13,0.63,0.25,0.38,0.5,0.31,1.07,29.4,0.75,1.76,0.13,1.64,0.38,1.51,0.44,0,Matches
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,3.75,1.88,1.25,2.5,0,1.25,1.25,100,0,1.25,0,1.25,0.62,4.38,0.62,0,Matches
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,0.7,0.35,0.18,0.35,0.18,0.12,1.05,11.1,0.94,0.82,0.12,0.7,0.41,1.11,0.53,0,Matches
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,0.77,0.33,0.44,0.11,0.22,0.22,1.1,20,0.88,0.55,0.11,0.44,0.11,0.88,0.66,0,Matches
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,2.68,1.85,2,0.6,0.08,1.58,2.45,64.6,0.87,1.13,0.53,0.6,1.21,3.89,4.04,0.11,Matches
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27,0,Matches
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,3.44,2.05,1.48,1.23,0.74,1.39,2.7,51.5,1.31,1.15,0.41,0.74,2.21,5.66,1.97,0,Matches
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,2,0,0,2,0,0,0,0,0,2,2,0,0,2,0,0,Matches
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21,1.29,0.71,0.62,0.52,0.14,0.71,1.19,60,0.48,0.76,0.19,0.57,0.62,1.9,0.71,0,Matches
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,3,1.6,0.93,1.27,0.8,1.05,2.49,42.4,1.43,1.65,0.21,1.43,0.42,3.42,0.25,0,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,1.53,1.02,1.02,0.45,0.06,0.73,1.13,65,0.4,1.47,1.36,0.11,1.02,2.54,4.46,0.11,Matches
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13,1.46,0.69,0.54,0.54,0.38,0.62,1.69,36.4,1.08,1,0.08,0.92,1.38,2.85,2.15,0.08,Matches
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1,3,2,3,0,0,1,3,33.3,2,2,0,2,0,3,0,0,Matches
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,1.1,0.71,0.45,0.45,0.19,0.52,1.29,40,0.77,1.03,0.32,0.71,0.52,1.61,0.45,0,Matches
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,5,5,0,5,0,0,5,0,5,0,0,0,5,10,0,0,Matches
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,2.36,1.39,0.69,1.39,0.28,0.83,2.15,38.7,1.32,1.74,0,1.74,1.67,4.03,1.04,0,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,1.47,1.04,0.95,0.49,0.03,0.46,0.81,57.1,0.35,0.75,0.4,0.35,0.89,2.36,4.32,0,Matches
