Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive1,PassDead1,TO1,Sh1,Fld1,Def1,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,3.6,3.6,2.16,0.64,0.27,0.19,0.3,0.04,0.27,0.27,0.11,0.04,0,0.04,0.04,0.04,Matches
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,4.21,4.16,2.11,0.53,0,1.05,0.53,0,1.05,1.04,0.53,0,0,0.53,0,0,Matches
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,1.16,1.16,0.92,0,0.05,0.14,0,0.05,0.19,0.19,0.11,0,0.05,0.03,0,0,Matches
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,2.91,2.91,2.49,0.17,0.13,0.04,0,0.08,0.13,0.13,0.13,0,0,0,0,0,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,1.55,1.55,1.34,0,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0,0,0,0,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26,1.27,1.27,1.04,0.08,0.08,0.04,0,0.04,0.04,0.04,0.04,0,0,0,0,0,Matches
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,1.36,1.37,1.21,0,0,0.15,0,0,0,0,0,0,0,0,0,0,Matches
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9,1.67,1.67,0.89,0,0.56,0,0.22,0,0.33,0.33,0.11,0,0.11,0,0.11,0,Matches
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,5.83,5.94,1.67,0,0,2.5,0.83,0.83,1.67,1.7,0,0,0,0,0.83,0.83,Matches
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,1.19,1.18,0.75,0.15,0.15,0.15,0,0,0.15,0.15,0.15,0,0,0,0,0,Matches
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,2.91,2.91,1.6,0.04,0.36,0.47,0.36,0.07,0.29,0.29,0.15,0,0.04,0.07,0.04,0,Matches
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,2.88,2.88,1.89,0,0.29,0.41,0.29,0,0.37,0.37,0.16,0,0.04,0.12,0.04,0,Matches
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,1.38,1.37,1.26,0.04,0,0.07,0,0,0.04,0.04,0.04,0,0,0,0,0,Matches
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,2.5,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,3.07,3.04,2.12,0.66,0.14,0.14,0,0,0.19,0.19,0.19,0,0,0,0,0,Matches
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,2.58,2.57,1.99,0.05,0.09,0.23,0.23,0,0.32,0.32,0.23,0,0,0,0.09,0,Matches
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,1.79,1.79,1.75,0,0,0,0.04,0,0.04,0.04,0.04,0,0,0,0,0,Matches
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,3.06,3.07,2.22,0,0,0.83,0,0,0.42,0.42,0.14,0,0,0.28,0,0,Matches
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,0.78,0.78,0.65,0,0,0.13,0,0,0,0,0,0,0,0,0,0,Matches
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,1.67,1.68,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,3.83,3.83,2.6,0,0.52,0.32,0.26,0.13,0.78,0.78,0.58,0,0.13,0.06,0,0,Matches
26,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,3.52,3.5,2.26,0.19,0.25,0.25,0.5,0.06,0.69,0.69,0.38,0,0.19,0,0.13,0,Matches
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,1.88,1.87,1.25,0.62,0,0,0,0,0.62,0.62,0.62,0,0,0,0,0,Matches
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,2.05,2.04,1.46,0.18,0.12,0.12,0.12,0.06,0.18,0.18,0.06,0,0,0.06,0.06,0,Matches
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,1.65,1.65,1.1,0,0.11,0.44,0,0,0.11,0.11,0,0,0,0.11,0,0,Matches
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,1.17,1.17,0.98,0.04,0,0.15,0,0,0.11,0.11,0.08,0,0,0.04,0,0,Matches
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,2.21,2.22,1.89,0.25,0,0.08,0,0,0.08,0.08,0.08,0,0,0,0,0,Matches
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,8,7.2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21,3.62,3.62,2.67,0.62,0.14,0,0.19,0,0.19,0.19,0.1,0.1,0,0,0,0,Matches
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,2.49,2.49,1.73,0.04,0.38,0.17,0.17,0,0.13,0.13,0.08,0,0,0,0.04,0,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,0.79,0.79,0.68,0.06,0,0.06,0,0,0,0,0,0,0,0,0,0,Matches
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13,1.38,1.38,1.08,0.08,0,0.08,0.08,0.08,0.15,0.15,0.15,0,0,0,0,0,Matches
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1,2,1.91,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,2.45,2.45,2,0,0.19,0.13,0.06,0.06,0.45,0.45,0.45,0,0,0,0,0,Matches
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,1.94,1.94,1.46,0.07,0,0.07,0.14,0.21,0.14,0.14,0.14,0,0,0,0,0,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,0.29,0.29,0.23,0,0,0.03,0,0.03,0,0,0,0,0,0,0,0,Matches
43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,2.78,2.77,2.16,0.21,0.31,0,0.1,0,0.31,0.31,0.21,0,0.1,0,0,0,Matches
44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12,1.92,1.93,1.17,0.17,0.33,0.08,0.17,0,0,0,0,0,0,0,0,0,Matches
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,0.47,0.47,0.47,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,2.56,2.57,2.33,0,0,0.23,0,0,0.23,0.23,0.12,0,0,0.12,0,0,Matches
48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,2.52,2.53,1.93,0,0,0.37,0.22,0,0.22,0.22,0.15,0,0,0.07,0,0,Matches
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,0.91,0.91,0.87,0,0,0.04,0,0,0,0,0,0,0,0,0,0,Matches
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,1.15,1.15,0.96,0.05,0,0.1,0,0.05,0.1,0.1,0.1,0,0,0,0,0,Matches
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,1.41,1.41,1.14,0.04,0.04,0.12,0,0.08,0.12,0.12,0.08,0,0.04,0,0,0,Matches
52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,10,8.18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,Matches
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,2,2.01,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5,0.4,0.4,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,Matches
55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,1.85,1.86,1.19,0,0.2,0.13,0.13,0.2,0.33,0.33,0.2,0,0.07,0.07,0,0,Matches
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,0.78,0.79,0.65,0,0.14,0,0,0,0.05,0.05,0.05,0,0,0,0,0,Matches
