Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Matches
1,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,0,13,0.1,0,0,20.77,20.77,100,0,0,0,0,0,0,0,0,0,0,Matches
2,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,8,7,675,7.5,0.8,0.8,2.53,1.73,68.4,0.13,0.4,0.4,0.27,28.6,0,0,0,0,0,Matches
3,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,6,4,406,4.5,1.77,1.77,3.55,1.55,56.3,0.44,0,0.44,0.22,25,0.44,0.22,0.22,0,50,Matches
4,Alisson,br BRA,GK,Liverpool,eng Premier League,29,1992,37,37,3330,37,1.16,1.16,3.97,2.84,72.1,0.51,0.24,0.24,0.38,37.8,0.11,0.05,0.03,0.03,33.3,Matches
5,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,29,1993,5,2,309,3.4,2.04,2.04,4.66,2.62,68.8,0,0.29,0.29,0.29,50,0.58,0.58,0,0,0,Matches
6,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,27,1994,29,29,2565,28.5,1.16,1.16,4.21,3.16,73.3,0.28,0.32,0.42,0.32,31,0.04,0.04,0,0,0,Matches
7,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33,1989,10,10,900,10,2.1,2.1,5.1,3,60.8,0.2,0.2,0.6,0.1,10,0.1,0.1,0,0,0,Matches
8,Emil Audero,it ITA,GK,Sampdoria,it Serie A,25,1997,25,25,2250,25,1.56,1.56,4.84,3.28,71.9,0.08,0.24,0.68,0.16,16,0.28,0.2,0.08,0,28.6,Matches
9,Édgar Badía,es ESP,GK,Elche,es La Liga,30,1992,36,36,3240,36,1.75,1.75,5.56,3.78,72,0.14,0.28,0.58,0.11,11.1,0.28,0.19,0.08,0,30,Matches
10,Francesco Bardi,it ITA,GK,Bologna,it Serie A,30,1992,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,0,Matches
11,Oliver Baumann,de GER,GK,Hoffenheim,de Bundesliga,32,1990,34,34,3060,34,1.68,1.68,4.74,3.09,65.8,0.29,0.18,0.53,0.15,14.7,0.09,0.06,0,0.03,0,Matches
12,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,20,2002,32,32,2880,32,1.75,1.75,3.75,2.09,54.2,0.19,0.19,0.62,0.12,12.5,0.06,0.03,0.03,0,50,Matches
13,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35,1987,1,1,90,1,0,0,4,4,100,1,0,0,1,100,0,0,0,0,0,Matches
14,Daniel Bentley,eng ENG,GK,Wolves,eng Premier League,29,1993,2,2,180,2,1.5,1.5,6.5,5,76.9,0,0.5,0.5,0,0,0,0,0,0,0,Matches
15,Paul Bernardoni,fr FRA,GK,Angers,fr Ligue 1,25,1997,27,27,2430,27,2.3,2.3,5.3,3.11,62.2,0.04,0.19,0.78,0.11,11.1,0.33,0.3,0,0.04,0,Matches
16,Marco Bizot,nl NED,GK,Brest,fr Ligue 1,31,1991,37,37,3330,37,1.46,1.46,4.76,3.3,73.3,0.3,0.27,0.43,0.22,21.6,0.24,0.19,0.05,0,22.2,Matches
17,Rubén Blanco,es ESP,GK,Marseille,fr Ligue 1,27,1995,6,6,495,5.5,1.09,1.09,3.45,2.73,68.4,0.18,0.55,0.36,0,0,0,0,0,0,0,Matches
18,Janis Blaswich,de GER,GK,RB Leipzig,de Bundesliga,31,1991,26,26,2340,26,1.12,1.12,2.88,1.73,69.3,0.62,0.15,0.23,0.27,26.9,0.27,0.23,0.04,0,14.3,Matches
