Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,0.08,0,0,0.61,2.08,0.23,2.73,0.19,0.68,0,0,0,4.85,0.3,1.48,17,0
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,0.53,0,0,2.63,1.58,0.53,3.68,0,2.63,0,0,0,4.21,0.53,0.53,50,0
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0,0,0,2.86,1.43,0,0,0,1.43,0,0,0,2.86,2.86,0,100,0
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,0.16,0,0,1.32,0.76,0.05,0.14,1.73,1.35,0,0,0,7.11,2.51,1.38,64.6,0
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,0.13,0,0,1.81,1.31,0.04,1.48,1.18,1.6,0,0,0,7.59,0.76,0.97,43.9,0
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,0.19,0.03,0,2.2,1.18,0,0.31,1.12,0.81,0,0,0.03,6.61,0.43,0.53,45.2,0
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26,0.27,0.04,0.04,1.08,1.12,0,0.23,1.31,2,0,0,0,7.42,0.31,0.58,34.8,0
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,0.3,0,0,1.97,1.06,0,0.76,0.76,0.91,0,0,0,5.61,7.58,3.18,70.4,0
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9,0.11,0,0,1.56,1.11,0.56,0.67,0.11,0.22,0.11,0,0,1.44,1.33,3.33,28.6,0
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,0,0,0,2.5,4.17,0.83,1.67,1.67,0.83,0.83,0,0,1.67,0.83,3.33,20,0
