Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp1,Att1,Cmp%1,Cmp2,Att2,Cmp%2,Cmp3,Att3,Cmp%3,Ast,xAG,xA,A-xAG,KP,3-Jan,PPA,CrsPA,PrgP,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,22.42,30.19,74.3,287.01,82.65,13.11,16.02,81.8,5.68,7.39,76.9,0.95,2.46,38.5,0.11,0.16,0.1,-0.05,1.74,1.78,0.61,0.15,3.26,Matches
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,26.84,37.37,71.8,346.84,57.37,18.95,20,94.7,7.37,12.11,60.9,0.53,3.16,16.7,0,0,0.05,0,0.53,1.58,0,0,3.16,Matches
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,32.86,41.43,79.3,535.71,112.86,20,21.43,93.3,8.57,11.43,75,2.86,7.14,40,0,0,0,0,0,0,0,0,0,Matches
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0,0,0,100,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,45.38,54.89,82.7,891,362.35,13.24,15.43,85.8,27.19,30.19,90.1,4.19,7.54,55.6,0.05,0.03,0.02,0.03,0.35,4.19,0.14,0,5.81,Matches
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,44.01,53.04,83,771.01,196.16,19.62,22.62,86.8,17.76,20.84,85.2,5.15,7.13,72.2,0.08,0.12,0.11,-0.04,1.52,5.23,1.1,0.34,6.37,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,56.49,61.52,91.8,890.65,218.01,27.86,29.94,93,23.88,25.19,94.8,2.86,3.63,78.6,0.03,0.05,0.07,-0.02,0.53,5.65,0.53,0.09,5.12,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26,50.31,57.04,88.2,857.19,291.5,22.81,24.62,92.7,21.62,23.73,91.1,4.27,6.15,69.4,0.04,0.05,0.04,-0.01,0.54,5.54,0.42,0,5.5,Matches
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,17.42,29.55,59,294.39,140.91,8.79,12.88,68.2,6.21,10.76,57.7,1.97,4.09,48.1,0,0.06,0.05,-0.06,0.91,2.58,0.45,0.3,2.27,Matches
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9,7.67,11.67,65.7,131.89,26.11,2.67,4,66.7,3.89,4.89,79.5,0.56,1.22,45.5,0.11,0.08,0.03,0.03,0.56,0.78,0.33,0.11,0.89,Matches
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,5.83,12.5,46.7,107.5,25,2.5,5,50,2.5,3.33,75,0.83,0.83,100,0,0.25,0.17,-0.25,1.67,0.83,0.83,0,1.67,Matches
