Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,30.19,26.93,3.22,0.98,0.3,0.08,2.73,0.19,1.44,0.64,0.53,0.04,22.42,0.04,1.02,Matches
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,37.37,35.79,1.58,0,0,0,3.68,1.05,0.53,0,0.53,0,26.84,0,0.53,Matches
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,41.43,31.43,10,4.29,0,1.43,0,5.71,0,0,0,0,32.86,0,0,Matches
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,54.89,50.86,3.84,3.14,0,0.81,0.14,0.27,0,0,0,0,45.38,0.19,0.54,Matches
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,53.04,50.34,2.53,0.84,0.34,0.25,1.48,0.68,0.42,0.13,0.04,0,44.01,0.17,0.93,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,61.52,59.84,1.4,1.34,0.16,0.16,0.31,0.06,0,0,0,0,56.49,0.28,0.47,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26,57.04,55.04,1.88,1.81,0.38,0.31,0.23,0.04,0.04,0,0,0,50.31,0.12,0.54,Matches
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,29.55,29.39,0,0,0,0.15,0.76,0,0,0,0,0,17.42,0.15,0.3,Matches
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9,11.67,10.11,1.44,0,0,0.22,0.67,0,0,0,0,0,7.67,0.11,0.33,Matches
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,12.5,12.5,0,0,0.83,0,1.67,0,0,0,0,0,5.83,0,0.83,Matches
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,52.39,41.04,11.19,0.15,0,0.3,1.94,11.04,0,0,0,0,37.61,0.15,2.24,Matches
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,28.25,27.05,1.02,0.04,0.04,0.04,1.05,0.8,0.04,0,0,0,20.95,0.18,1.67,Matches
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,21.11,19.55,1.44,0.08,0.16,0.12,0.45,0.04,0,0,0,0,14.07,0.12,0.33,Matches
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,45,45,0,0,0,0,0,0,0,0,0,0,45,0,0,Matches
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,61.12,57.47,3.46,1.52,0.04,0.37,0.82,0.78,0,0,0,0,54.09,0.19,0.15,Matches
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,80,70,10,0,0,0,0,0,0,0,0,0,70,0,0,Matches
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,52.5,50,2.5,0,0,0,2.5,0,2.5,0,2.5,0,45,0,0,Matches
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,61.65,49.43,12.12,2.31,0.14,0.66,6.93,8.21,1.6,0.33,1.04,0,45.75,0.09,1.18,Matches
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,22.53,22.17,0.32,0,0.27,0.32,0.54,0.18,0,0,0,0,14.93,0.05,0.77,Matches
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,55.96,52.96,3,2.42,0.04,0.08,0.08,0.58,0,0,0,0,46.17,0,1,Matches
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,24.86,22.08,2.64,0,0.14,0.14,1.81,0.83,0,0,0,0,17.08,0.14,1.11,Matches
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,56.03,53.23,2.5,2.03,0.09,0.52,0.09,0.3,0,0,0,0,45.95,0.3,0.43,Matches
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,34.17,31.67,2.5,0.83,0,0,0,0.83,0.83,0,0,0,24.17,0,0.83,Matches
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,29.68,27.99,1.49,0.19,0.13,0.06,1.62,0.78,0.52,0.45,0.06,0,21.75,0.19,1.36,Matches
26,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,35.53,33.65,1.45,0.25,0.19,0.13,1.13,0.31,0.5,0.13,0.13,0,26.86,0.44,1.19,Matches
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,47.5,45,2.5,0.62,0,0.62,3.75,0.62,1.25,0,1.25,0,30.62,0,3.12,Matches
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,39.42,37.49,1.75,0.58,0,0.18,1.23,0.76,0.23,0.06,0.18,0,32.57,0.18,0.94,Matches
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,21.21,20.33,0.88,0.22,0,0.11,0.44,0.55,0,0,0,0,16.04,0,0.44,Matches
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,56.34,54.08,2.11,1.89,0.26,0.68,0.08,0.15,0,0,0,0,48.34,0.15,0.42,Matches
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,32.13,22.53,9.6,1.33,0,0,0,0,0,0,0,0,22.8,0,0,Matches
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,60.98,59.02,1.72,1.23,0.25,0.66,0.74,0.16,0.33,0.25,0,0,50.74,0.25,0.98,Matches
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,50,38,12,0,0,0,2,12,0,0,0,0,32,0,4,Matches
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21,54.38,49.52,4.52,2.38,0.14,1.86,2.71,0.24,1.67,0.14,1.14,0,44.29,0.33,0.81,Matches
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,31.01,30,0.72,0.08,0.21,0.04,1.43,0.3,0.21,0.13,0.08,0,22.41,0.3,1.65,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,43.11,40.85,2.03,1.64,0,1.19,0,0,0,0,0,0,33.84,0.23,0.28,Matches
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13,65.15,53.54,11.46,1.38,0,0.23,3,10.08,0,0,0,0,53.54,0.15,1.69,Matches
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1,46,45,1,0,0,0,2,0,0,0,0,0,37,0,0,Matches
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,34.13,33.16,0.84,0.26,0.13,0.06,0.39,0.32,0,0,0,0,28.97,0.13,0.84,Matches
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,50,50,0,0,0,0,0,0,0,0,0,0,30,0,0,Matches
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,41.11,40,1.11,0.9,0.21,0.42,0.35,0.07,0,0,0,0,31.04,0,0.76,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,50.89,49.28,1.47,1.21,0,0.14,0.06,0.23,0,0,0,0,43.95,0.14,0.37,Matches
43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,56.08,44.54,11.13,0.82,0,0.31,3.61,10,0.31,0,0,0,41.44,0.41,1.75,Matches
44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12,48.17,40.58,7.42,0.42,0,0.17,1.75,6.75,0.25,0.08,0.17,0,39.17,0.17,1.5,Matches
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,44.4,38.86,5.43,1.3,0.05,0.33,0.22,3.64,0,0,0,0,35.11,0.11,0.71,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,40.59,34.47,6,0.82,0,0.47,0.71,5.18,0,0,0,0,30.47,0.12,0.94,Matches
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,29.65,28.14,1.16,0.12,0.35,0.35,0,0,0,0,0,0,20.7,0.35,0.12,Matches
48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,30.74,29.48,1.04,0.07,0.07,0.37,0.3,0.15,0,0,0,0,18,0.22,0.81,Matches
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,80.94,78.7,2.17,1.1,0,0.31,0.24,1.06,0,0,0,0,75.28,0.08,0.31,Matches
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,87.16,81.01,6.06,1.68,0.05,0.29,0.72,4.38,0,0,0,0,78.8,0.1,1.25,Matches
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,41.61,32.31,9.02,0.98,0.12,0.51,2.75,8.04,0,0,0,0,32.2,0.27,0.78,Matches
52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,20,20,0,0,0,0,0,0,0,0,0,0,20,0,0,Matches
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,37.33,35.78,1.11,0.22,0,0,2.22,0.67,0.22,0.22,0,0,28.89,0.44,1.33,Matches
54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5,34.8,33.6,0.8,0.4,0.2,0.4,0,0.4,0,0,0,0,32,0.4,0.6,Matches
55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,26.89,26.23,0.6,0.46,0.07,0.2,0.73,0.13,0,0,0,0,20,0.07,1.32,Matches
