Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,36,2372,66,69.4,26.4,1.06,78,0.3,0.3,22,0.08,0.86,1.33,2.2,-0.87,-0.87,-0.27,1.26,1.89,-0.62,-0.63,-0.35,
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,7,173,25,5.7,1.9,0,,0,3.68,25,3.16,1.14,2.11,0,2.11,2.08,2.02,2.84,0.74,2.11,2.06,1.92,
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,63,32,1.8,0.7,1.43,58,0,1.43,5,47.14,0,0,0,0,0,0.03,0.57,1,-0.43,-0.37,-0.25,
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,1,1,1,0,0,,,,inf,1,inf,3,inf,,inf,90,89.84,inf,,inf,28.39,28.2,
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,3330,90,97.4,37,1,90,1,0,,0,1.38,1.22,1.14,0.08,0.08,3.08,1.64,1.35,0.28,0.28,1.79,
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,30,2137,71,62.5,23.7,1.01,83,0.59,0.25,23,0.25,0.33,0.89,2.07,-1.18,-1.18,0.22,1,1.72,-0.72,-0.72,-0.45,
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,2894,88,84.6,32.2,1.02,88,0.93,0,,0,2.24,1.83,0.68,1.15,1.15,0.81,1.8,1.11,0.69,0.69,0.45,
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,2342,81,68.5,26,1.08,83,0.73,0.04,26,0,1.72,1.46,1.35,0.12,0.12,0.45,1.22,1.53,-0.31,-0.31,0.16,
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,590,45,17.3,6.6,0.91,80,0.76,1.06,16,0.76,1.08,0.3,1.67,-1.36,-1.37,-0.77,0.74,1.41,-0.67,-0.67,-0.36,
10,Terry Ablade,fi FIN,FW,Fulham,eng Premier League,20,2001,0,,,,,,,,,,,,,,,,,,,,,,
11,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,19,806,42,23.6,9,0.89,73,0.11,1.22,20,0.11,1.11,0.78,1.56,-0.78,-0.78,-0.06,1.3,1.48,-0.18,-0.18,0.32,
12,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,11,107,10,3.1,1.2,0,,0,9.17,10,3.33,2.27,4.17,0,4.17,4.21,3.53,2.42,1.08,1.33,1.36,0.93,
13,Abner,br BRA,DF,Betis,es La Liga,22,2000,13,607,47,17.7,6.7,1.04,74,0.45,0.9,15,1.19,1.08,1.04,1.49,-0.45,-0.44,-0.7,1.54,1.63,-0.09,-0.09,-0.16,
14,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,37,2473,67,72.3,27.5,1.02,80,0.44,0.33,26,0,1.27,1.38,1.64,-0.25,-0.25,-0.35,1.41,1.54,-0.12,-0.12,-0.01,
15,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,38,2187,58,63.9,24.3,0.99,77,0.29,0.58,24,0,1.66,1.32,1.03,0.29,0.29,-0.08,1.55,0.94,0.61,0.61,-0.16,
