Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,3-Jan,CPA,Mis,Dis,Rec,PrgR,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,43.3,0.45,4.39,18.75,20.98,2.73,43.3,3.79,1.29,34,1.82,48,25.98,138.11,58.03,1.63,1.29,0.49,2.69,3.11,29.05,5.72,Matches
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,52.11,1.05,3.16,21.58,27.89,8.95,52.11,3.16,1.58,50,1.58,50,28.95,165.26,75.26,4.21,1.05,1.05,2.63,1.05,34.21,7.89,Matches
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,55.71,11.43,37.14,18.57,0,0,55.71,1.43,1.43,100,0,0,25.71,68.57,27.14,0,0,0,1.43,1.43,30,0,Matches
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,66.46,6.51,29.41,34.46,3.32,1.05,66.46,1,0.57,56.8,0.38,37.8,46.57,293.81,165.49,1.08,0.57,0.08,0.73,0.62,40.51,0.27,Matches
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,63.97,1.1,10,38.57,17.26,0.97,63.97,3.21,1.81,56.6,1.18,36.8,49.96,289.49,138.99,2.45,2.53,0.3,1.52,0.84,44.98,4.68,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,69.07,2.05,12.55,46.65,10.56,0.5,69.07,1.52,0.9,59.2,0.4,26.5,57.42,299.53,107.36,1.02,1.74,0.09,1.21,0.99,52.95,1.37,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26,68.42,2.92,22.35,41.12,5.81,0.15,68.42,1.58,0.88,56.1,0.54,34.1,53.23,233.42,99.88,0.5,1.12,0,1.12,0.73,48.35,0.54,Matches
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,38.94,2.27,12.42,20.76,6.06,1.97,38.94,0.15,0.15,100,0,0,15,60.76,23.64,0.3,0.45,0,0.91,0.15,17.58,1.21,Matches
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9,23.33,0.33,1.22,11.22,11.44,4.56,23.11,2.56,1.33,52.2,1.22,47.8,15.67,102,35.44,1.56,0.56,0.78,4.78,1.89,17.22,5.44,Matches
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,30.83,0.83,0.83,12.5,18.33,12.5,30.83,0,0,0,0,0,22.5,145,87.5,3.33,0.83,1.67,8.33,0.83,22.5,9.17,Matches
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,63.43,3.73,19.1,28.21,16.87,1.64,63.43,1.49,0.45,30,1.04,70,30.45,128.06,70,1.19,1.04,0.6,1.49,0.6,34.48,3.73,Matches
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,42.29,1.16,5.67,16.58,20.76,5.45,42.29,3.96,1.53,38.5,2.07,52.3,32.76,218.36,96.69,3.64,1.75,1.56,3.02,1.31,30.65,10.04,Matches
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,32.35,0.78,2.06,16.09,14.61,5.14,32.35,2.8,0.91,32.4,1.52,54.4,17.33,88.64,35.23,1.44,0.82,0.66,2.55,1.28,25.56,5.8,Matches
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,55,0,5,45,5,0,55,0,0,0,0,0,35,95,35,0,0,0,5,0,40,0,Matches
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,70.26,8.4,31.9,32.71,6.21,1,70.26,0.45,0.26,58.3,0.15,33.3,38.7,189.89,106.58,1.45,1.23,0.07,0.48,0.26,46.54,1.19,Matches
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,80,60,80,0,0,0,80,0,0,0,0,0,80,420,340,0,0,0,0,0,20,0,Matches
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,62.5,0,10,27.5,25,0,62.5,2.5,0,0,2.5,100,52.5,335,187.5,5,5,0,0,2.5,47.5,2.5,Matches
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,71.84,3.25,19.15,31.6,22.03,1.23,71.84,2.55,1.23,48.1,1.08,42.6,38.82,191.98,102.74,2.31,2.03,0.24,1.37,0.94,42.59,4.43,Matches
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,32.44,1.31,2.99,12.94,17.06,4.66,32.44,1.49,0.72,48.5,0.59,39.4,18.33,72.99,21.22,0.77,0.5,0.41,2.99,1.27,25.25,5.2,Matches
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,67.83,1.83,15.67,42.08,10.58,0.21,67.83,0.92,0.29,31.8,0.5,54.5,34.08,139.25,64.79,0.79,0.88,0,1.17,0.75,38.29,0.83,Matches
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,43.06,0.83,5,18.61,20.42,6.67,43.06,3.75,0.83,22.2,2.22,59.3,23.06,128.33,48.89,1.67,1.11,0.69,3.89,2.22,26.53,8.06,Matches
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,66.55,9.96,33.45,31.55,1.98,0.82,66.55,0.3,0.22,71.4,0.09,28.6,35.95,192.67,117.8,0.69,0.52,0.04,0.17,0.17,42.03,0.13,Matches
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,49.17,3.33,18.33,18.33,13.33,0.83,49.17,2.5,0.83,33.3,1.67,66.7,25.83,144.17,69.17,0.83,0,0,3.33,1.67,22.5,0.83,Matches
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,43.9,0.71,4.42,15.58,24.94,4.22,43.83,6.1,2.21,36.2,3.12,51.1,29.55,205.39,96.69,3.18,2.08,1.36,2.79,1.69,31.04,8.51,Matches
26,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,22,2000,15.9,49.43,0.57,4.65,24.78,20.57,4.21,49.43,3.65,1.64,44.8,1.38,37.9,29.37,164.15,86.04,2.89,1.82,0.94,3.27,1.13,37.61,8.62,Matches
27,Yacine Adli,fr FRA,"MF,FW",Milan,it Serie A,22,2000,1.6,60.62,0.62,8.75,28.12,26.25,1.25,60.62,3.75,2.5,66.7,1.25,33.3,34.38,218.12,106.88,4.38,3.12,0,1.88,3.12,41.88,5,Matches
28,Michel Aebischer,ch SUI,"FW,MF",Bologna,it Serie A,25,1997,17.1,46.26,0.82,8.6,23.39,14.39,1.64,46.26,0.76,0.35,46.2,0.41,53.8,29.53,116.49,49.18,0.82,0.7,0.23,1.75,0.99,36.14,4.97,Matches
29,Felix Afena-Gyan,gh GHA,"FW,MF",Cremonese,it Serie A,19,2003,9.1,34.95,0.77,4.4,14.18,17.14,3.08,34.95,2.75,0.77,28,1.32,48,22.2,127.47,50.88,2.42,1.43,0.33,3.74,2.31,23.85,5.93,Matches
30,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25,1997,26.5,67.85,8.04,32.11,33.09,3.28,0.79,67.85,0.53,0.3,57.1,0.23,42.9,48.57,289.47,145.89,0.57,0.72,0.08,0.87,0.49,41.02,0.3,Matches
31,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,21,2000,7.5,33.73,27.07,33.2,0.53,0,0,33.73,0,0,0,0,0,20,107.2,73.47,0,0,0,0,0,14,0,Matches
32,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,20,2002,12.2,73.2,3.69,22.62,39.34,11.72,1.07,73.2,1.07,0.41,38.5,0.41,38.5,52.95,259.02,100.57,0.74,0.82,0,0.74,0.9,48.36,0.82,Matches
33,Felix Agu,de GER,"DF,FW",Werder Bremen,de Bundesliga,22,1999,0.5,66,2,14,26,28,4,66,6,0,0,4,66.7,38,330,48,0,4,0,2,4,38,4,Matches
34,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26,1996,21,61.52,1.71,12.14,35.33,15,0.86,61.52,1.48,0.62,41.9,0.43,29,39.67,260.76,119.43,1.38,2.05,0.14,1.14,0.43,43.24,2.38,Matches
35,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,23,1998,23.7,45.74,0.46,7.09,21.1,19.28,2.28,45.74,4.6,2.11,45.9,2.11,45.9,27.93,209.41,115.61,3.42,3,0.8,2.49,2.32,29.49,4.22,Matches
36,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26,1996,17.7,53.62,9.1,31.81,20.23,1.98,1.3,53.62,0.34,0.23,66.7,0,0,29.55,120.17,64.24,0.11,0.06,0,0.45,0.4,31.86,0.23,Matches
37,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29,1993,13,75,3.38,16.15,35.62,23.46,1.85,75,1.08,0.54,50,0.46,42.9,49,250.46,115.46,2.23,1.77,0.23,1.08,0.31,44.08,6,Matches
38,Naouirou Ahamada,fr FRA,"MF,FW",Crystal Palace,eng Premier League,20,2002,1,63,0,12,35,16,4,63,2,1,50,1,50,32,179,70,1,2,1,5,1,39,11,Matches
39,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20,2002,15.5,43.48,1.16,8.97,24.97,10.32,1.42,43.48,2.84,1.29,45.5,1.29,45.5,26.32,192.77,97.48,2.77,1.74,0.39,2.19,0.71,29.23,3.48,Matches
40,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,18,2004,0.2,90,0,15,40,35,0,90,5,5,100,0,0,60,370,105,0,5,0,20,10,60,10,Matches
41,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28,1994,14.4,55.49,1.81,9.1,33.54,13.47,1.88,55.49,2.36,0.97,41.2,0.97,41.2,37.36,201.81,84.72,1.74,1.25,0.62,2.36,1.04,33.12,2.57,Matches
42,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,26,1995,34.7,60,8.67,32.1,27.03,1.33,0.43,60,0.37,0.23,61.5,0.06,15.4,37.64,178.44,92.97,0.43,0.17,0,0.35,0.26,38.07,0.06,Matches
43,Ola Aina,ng NGA,DF,Torino,it Serie A,25,1996,9.7,70,2.06,15.05,30.31,25.77,1.34,70,5.05,2.37,46.9,2.06,40.8,37.22,233.81,114.64,3.61,2.68,0.41,1.55,0.82,40.21,4.43,Matches
44,Rayan Aït Nouri,dz ALG,DF,Wolves,eng Premier League,21,2001,12,61.67,3.33,20,23.25,19.42,2.33,61.67,4.17,2.33,56,1.5,36,32.92,188.33,103.67,2.5,1.08,0.83,2.33,1,37.83,6.33,Matches
45,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,21,2000,18.4,54.18,5.71,27.5,24.57,2.77,0.27,54.18,0.54,0.16,30,0.27,50,27.17,171.03,85.27,1.03,0.6,0,0.33,0.27,28.32,0.38,Matches
46,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24,1998,8.5,48.47,5.29,21.65,19.65,7.53,1.06,48.47,0.82,0.12,14.3,0.47,57.1,25.06,132.12,72.12,1.18,0.59,0,0.35,0.94,27.18,1.41,Matches
47,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,28,1994,8.6,39.07,0.93,3.72,20,15.81,5.81,38.95,0.58,0.35,60,0.23,40,26.16,104.77,23.49,0.23,0.81,0.12,2.21,1.16,30.47,6.4,Matches
48,Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,de Bundesliga,28,1994,13.5,41.11,0.59,2.52,21.56,17.48,5.63,41.11,0.89,0.52,58.3,0.3,33.3,18.74,73.26,19.78,0.37,0.81,0.07,3.41,0.96,30.74,6.3,Matches
49,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27,1995,25.4,87.83,4.76,32.09,49.13,6.93,1.34,87.83,0.47,0.24,50,0.12,25,60.79,332.4,198.39,0.94,1.57,0.04,0.47,0.12,68.27,0.67,Matches
50,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,27,1995,20.8,94.18,4.13,29.57,52.74,12.31,1.54,94.18,0.24,0.14,60,0.05,20,58.8,262.26,159.33,1.2,0.91,0.19,0.77,0,71.73,1.44,Matches
51,Sergio Akieme,es ESP,DF,Almería,es La Liga,24,1997,25.5,50.31,3.06,17.02,22.08,12.04,1.37,50.31,2,1.06,52.9,0.71,35.3,25.88,164.71,87.53,2.35,1.33,0.43,1.14,0.98,27.84,3.29,Matches
52,Babatunde Akinsola,ng NGA,FW,Valladolid,es La Liga,19,2003,0.1,40,0,10,20,10,0,40,0,0,0,0,0,40,290,140,10,10,0,20,10,50,30,Matches
53,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,fr Ligue 1,20,2002,4.5,46.67,0.89,5.11,18.89,23.33,3.78,46.67,2.89,1.33,46.2,1.56,53.8,38.22,199.33,78,2,1.11,0.44,1.78,1.56,35.78,9.33,Matches
54,Paul Akouokou,ci CIV,"MF,DF",Betis,es La Liga,24,1997,5,46.6,6.6,20.4,23.4,3.2,0.2,46.6,1,0.6,60,0.4,40,23.2,73.8,24.4,0.2,0.4,0,1,0,27.2,0.2,Matches
55,Jean-Daniel Akpa-Akpro,ci CIV,"MF,FW",Empoli,it Serie A,29,1992,15.1,41.72,1.59,10.79,22.38,9.47,1.59,41.72,3.64,2.05,56.4,1.26,34.5,21.52,118.41,49.54,1.26,1.52,0.53,1.66,0.99,23.25,2.45,Matches
56,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27,1995,21.7,60.18,6.59,28.25,28.06,4.29,0.74,60.18,1.01,0.32,31.8,0.6,59.1,31.84,157.7,70.83,0.78,0.6,0.14,0.74,0.32,34.19,1.06,Matches
57,David Alaba,at AUT,DF,Real Madrid,es La Liga,30,1992,20.4,63.38,6.72,26.03,25.98,11.76,1.08,63.38,0.2,0.15,75,0.05,25,38.19,174.8,101.47,0.78,1.18,0.1,0.34,0.25,45.98,2.94,Matches
58,Ángel Alarcón,es ESP,MF,Barcelona,es La Liga,18,2004,0.3,26.67,3.33,3.33,3.33,20,3.33,26.67,3.33,0,0,0,0,13.33,73.33,43.33,0,0,0,0,0,20,6.67,Matches
59,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,23,1999,2.5,45.2,1.2,8,27.2,10,0.4,45.2,0,0,0,0,0,24.8,106.8,32.4,0.8,0,0,1.2,1.6,29.6,2.4,Matches
60,Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,de Bundesliga,29,1992,3.7,35.41,3.51,5.95,13.78,16.49,6.49,35.41,2.16,1.35,62.5,0.81,37.5,14.32,63.24,31.35,0.54,1.62,0.27,1.08,2.16,24.59,4.59,Matches
61,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33,1989,15.8,98.61,2.15,18.92,48.42,32.03,2.47,98.61,0.51,0.25,50,0.25,50,60.57,245.63,131.58,2.66,1.71,0.38,0.44,0.44,70.95,9.94,Matches
62,Luis Alberto,es ESP,MF,Lazio,it Serie A,29,1992,27.1,81.81,1.07,9.93,47.42,25.13,1.59,81.73,1.51,0.7,46.3,0.74,48.8,45.9,207.82,118.6,2.69,2.8,0.37,1.22,1.14,60.22,3.47,Matches
63,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,36,1985,23.5,71.79,9.49,36.43,33.87,1.87,0.38,71.79,0.3,0.17,57.1,0.13,42.9,44.55,294.81,196.43,0.51,0.43,0,0.47,0.21,49.02,0.13,Matches
64,Marc Albrighton,eng ENG,"FW,MF",Leicester City,eng Premier League,32,1989,2.6,66.54,2.31,12.69,23.46,30.38,1.92,66.54,0.77,0.77,100,0,0,31.92,150.38,56.54,1.54,1.54,0,1.54,0.77,44.62,6.92,Matches
65,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31,1991,13.9,90,3.24,19.57,57.27,13.53,0.58,90,2.16,1.51,70,0.29,13.3,51.65,261.8,123.81,0.94,1.51,0,0.94,1.58,65.47,1.73,Matches
66,Carlos Alcaraz,ar ARG,"MF,FW",Southampton,eng Premier League,19,2002,11.4,37.72,1.23,6.4,20.53,11.4,2.02,37.72,2.46,1.14,46.4,0.96,39.3,22.63,113.33,59.21,1.75,1.49,0.18,2.63,2.11,25.96,2.81,Matches
67,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31,1991,22.7,56.65,2.82,13.61,33.83,9.87,0.97,56.52,1.06,0.53,50,0.44,41.7,31.5,163.57,69.91,1.32,1.19,0.13,1.5,1.37,34.14,0.88,Matches
68,Omar Alderete,py PAR,DF,Getafe,es La Liga,25,1996,22.7,49.07,5.2,20.18,26.04,3.57,1.1,49.07,0.97,0.75,77.3,0.22,22.7,23.3,125.24,85.33,1.23,0.66,0.09,0.66,0.35,23.48,0.35,Matches
69,Iván Alejo,es ESP,"MF,FW",Cádiz,es La Liga,27,1995,14.6,40.41,1.58,8.97,12.67,19.38,1.51,40.41,3.22,0.82,25.5,1.71,53.2,24.38,178.9,87.33,3.56,2.19,0.14,2.6,1.58,25.89,7.05,Matches
70,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,19,2002,4.5,34.22,26,34.22,0,0,0,34.22,0,0,0,0,0,22.67,108.89,50.89,0,0,0,0.22,0,14.89,0,Matches
71,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,24,1998,23.5,43.57,0.72,6.34,24.64,13.28,1.19,43.57,1.83,1.02,55.8,0.55,30.2,25.87,118.98,52.55,1.02,0.98,0.09,2,1.02,30.98,3.32,Matches
72,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,23,1998,32.5,97.85,2.74,22.68,50.18,25.75,1.35,97.85,1.38,0.92,66.7,0.4,28.9,54.71,210.71,101.91,1.32,1.2,0.25,1.08,0.65,62.83,4.28,Matches
73,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20,2002,0.2,10,0,0,5,5,0,10,5,0,0,5,100,5,30,0,0,5,0,0,0,10,0,Matches
