Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,0.04,1.55,0.34,22,1.56,0.34,0.02,0.11,18.4,0.08,0,0,0.15,0.15,0.09,-0.11,-0.11,Matches
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,0,2.11,0.53,25,2.08,0.52,0,0,18.7,0,0,0,0.11,0.11,0.04,-0.11,-0.11,Matches
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,0.03,0.86,0.08,9.4,0.86,0.08,0.03,0.33,15,0,0,0,0.06,0.06,0.07,-0.04,-0.04,Matches
6,Himad Abdelli,fr FRA,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,0.08,1.01,0.3,29.2,1.01,0.29,0.08,0.29,22.4,0.08,0,0,0.06,0.06,0.06,0.03,0.03,Matches
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,0.03,0.4,0.12,30.8,0.4,0.12,0.08,0.25,19.1,0,0,0,0.03,0.03,0.07,0,0,Matches
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26,0,0.5,0.08,15.4,0.5,0.08,0,0,24,0,0,0,0.02,0.02,0.04,-0.02,-0.02,Matches
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,0,0.45,0.3,66.7,0.46,0.31,0,0,14,0,0,0,0.02,0.02,0.05,-0.02,-0.02,Matches
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9,0.22,2.67,0.89,33.3,2.68,0.89,0.04,0.13,20.6,0,0.11,0.22,0.4,0.22,0.08,-0.18,-0.11,Matches
